city_name,roads_length,footways_length,sidewalks_length,no_sidewalks_length,walk_geometries_length,hf_geometries_length,fs_geometries_length,hf_sf_geometries_length,sidewalk_geometries_length,no_sidewalk_geometries_length,footways_coverage,highway_footways_coverage,sidewalks_coverage,no_sidewalks_coverage,all_sidewalks_coverage,footways_coverage_rank,sidewalks_coverage_rank,walk_geometries_coverage
"Tampa, United States",3205974.837937167,1060874.1664947974,317289.0489281459,172107.14099297568,6787795.550734114,990507.527240133,454540.06921792845,994258.1286391232,472237.7746835742,183808.7373242942,0.0334821567488703,0.0729623866715466,0.0347857983607432,0.0135396489147654,0.0483254472755087,54.0,70.0,2.117232945939654
"Brisbane, Australia",7989148.911933819,2077804.8393746528,188564.137349176,19615.293627821877,15114778.615183812,2587640.8300987026,936958.5601221784,2588302.0206385786,260225.98910737757,31580.358727609288,0.0309947827876532,0.0855996933854937,0.008608329494352,0.0010446847926665,0.0096530142870186,53.0,37.0,1.8919134918872345
"Cleveland, United States",2948518.400684296,591062.802296723,12432.976893244886,1593.642365943682,3828544.735184652,441767.1212396035,235621.9544881756,441767.1212396035,26838.59509191342,796.821182971841,0.0307717384523145,0.0576938695765686,0.0035050648416439,0.0001040631934699,0.0036091280351138,52.0,23.0,1.298463911331236
"Charlotte, United States",7227240.737387782,1512718.397059998,273035.1670356529,246451.93145375967,10877686.926969388,987954.5902818862,648237.8611657503,987954.5902818862,290831.285162301,136132.04910245573,0.0297966776171206,0.0454119794453919,0.0133682503971149,0.0062573987473816,0.0196256491444965,51.0,53.0,1.5050954191545343
"Gdansk, Poland",2253432.745541346,2334712.0773210404,69800.21005722332,167042.818950778,5654343.458752156,2041754.3135076987,323402.8013945942,2050059.1573336876,83733.23679853338,87692.24255934558,0.0285977323232824,0.1805474259215135,0.007404328849968,0.0077544142126359,0.0151587430626039,50.0,33.0,2.5092133190750294
"Bratislava, Europe",4945061.561213811,3992977.191087332,83343.69065001202,129277.98961897724,16438554.34065156,3156479.470796075,934688.2992067726,3159851.4190390115,97636.9310503047,74772.80409355511,0.028429759692899,0.0960084264523885,0.0029697541835797,0.0022743120393697,0.0052440662229494,49.0,15.0,3.324236541277065
"Sydney, Australia",24587555.813308693,6770328.883210872,1441607.458866193,615597.6666974612,33961268.811303146,5451320.219841851,1930932.5238327968,5472056.176194877,1567203.3031316586,343114.7862627283,0.0284284508709246,0.0802578998171516,0.0230733915131294,0.0050515601782894,0.0281249516914189,48.0,65.0,1.3812380974005019
"Vienna, Europe",4549839.12674917,4220870.299681008,2090527.5902950063,171847.34077778464,8117233.291635519,3767132.571734406,444777.910994061,3780298.2576324176,2361673.965866957,107200.5930100691,0.0273971373628245,0.2320453556272852,0.1454728403765705,0.0066032716541814,0.152076112030752,47.0,94.0,1.7840703957889668
"London, England",25457827.700800776,11943821.19230008,10615132.644489609,291115.8029295279,35644196.11875969,10696239.025541903,1702922.279174101,10802664.681888971,11185242.995698169,162498.33144020307,0.0238877919072755,0.1500418047008841,0.1569013221455614,0.0022794500807198,0.1591807722262812,46.0,95.0,1.4001271647242117
"Buffalo, United States",1649892.648727781,325981.5283475616,130119.86007681408,7671.650072441267,2028925.275179326,251956.2879689243,94784.25873088517,251956.2879689243,178342.9563917969,9762.002519295553,0.0233582428811991,0.0620910713300309,0.0439501046621921,0.002405707750482,0.0463558124126742,45.0,76.0,1.22973168996408
