city_name,roads_length,walk_network_length,footways_length,sidewalks_length,no_sidewalks_length,footways_coverage,sidewalks_coverage,no_sidewalks_coverage,walk_network_coverage
"Cincinnati, United States",2243366.933809139,4143805.7126193307,1007700.7143128924,238429.4448672275,31270.671634881117,0.12159121158167394,0.028769380299506663,0.0037731826494243007,1.8471368415791571
"Perth, Australia",97749.29840994194,156571.71578267106,37023.416751094715,669.2250954033898,0.0,0.11823149719609947,0.0021371200157642325,0.0,1.601768179716637
"Eindhoven, Netherlands",1803121.085522707,2876376.283290038,677771.994008511,153031.85729084173,17580.635020796402,0.11781699041706502,0.026601501719344216,0.003056038794876906,1.595220812614592
"Groningen, Netherlands",1278403.6238455365,2137188.963110233,491535.4691398986,289424.05613557587,18970.561602992355,0.11499579064468196,0.06771138657631365,0.004438204092020169,1.6717638492617881
"Los Angeles, United States",14702175.362286603,23624881.419439156,5423082.037725095,206852.49300938743,105478.96209828489,0.11477479910783477,0.004377852513561907,0.0022323701911048347,1.6068969956677772
"St Louis, United States",2519688.2450984446,4714477.6588115,1080440.424900686,9042.209930268677,1398.3310821738985,0.11458750078933032,0.0009589832198449933,0.00014830180386584034,1.8710559403460267
"Columbus, United States",6635624.132686903,12571823.572691767,2674360.011965874,337188.50907304557,81751.34778552406,0.10636324939267598,0.013410485245970159,0.0032513718997418365,1.8945954926475277
"Tampa, United States",3205974.837937167,5051395.660545727,1060874.1664947974,243248.13039815126,86053.56748414223,0.1050080252850542,0.02407731909599336,0.008517801145163656,1.5756192471541564
"Bratislava, Europe",4945061.561213811,19124865.270352386,3992977.1910873316,65113.575855881165,64638.99480948862,0.10439229596240075,0.001702327701017091,0.0016899202659924834,3.867467580253543
"Austin, United States",6528562.136066306,11690691.349101678,2288291.346160938,204771.99272769038,131846.21963890607,0.09786809341847744,0.008757907749545763,0.005638940234661025,1.7906992543607374
"Tilburg, Netherlands",1765486.6749937884,2772018.9798232983,511316.1397465827,61558.69887430523,4533.663477906208,0.092228109451685,0.011103585387108221,0.0008177547684387077,1.5701160586969887
"Hartford, United States",588043.871293637,990219.6603269264,182618.88629689201,20843.134330295823,0.0,0.092211300993862,0.01052450035349447,0.0,1.6839214022391618
"Pittsburgh, United States",2350669.39209117,3843794.1452159886,705031.3409679385,177795.4332208186,126413.23647693652,0.09171034065981722,0.023127595613061637,0.016443809384832857,1.6351913025916953
"San Diego, United States",7667643.73364315,14117248.98888061,2581930.0696203965,589498.5786720975,114270.41553972886,0.09144593509875906,0.020878663369060555,0.004047191334152053,1.8411456608160692
"Nashville, United States",6936417.212158126,12535011.467378497,2290782.983887688,7281.048831366289,35729.69236562296,0.09137538445215197,0.0002904284870546276,0.001425195838815426,1.8071305522694305
"Sydney, Australia",24587555.813308693,37199525.20031289,6770328.883210872,923653.4266278816,305326.6076276833,0.09100020560415548,0.01241485505062458,0.004103904632969821,1.5129411594534183
"Sacramento, United States",3567292.1636979664,6077725.34993878,1094634.9213293337,48250.671494563074,57979.56389753947,0.09005300982713539,0.003969467910807214,0.004769840734751488,1.7037363554877492
"Miami, United States",1666704.4729373632,2358909.131437488,419187.29990538064,108478.5653301264,29851.483727010476,0.08885193887267999,0.0229933751759274,0.006327391616992762,1.415313374230165
"Brisbane, Australia",7989148.911933819,11766596.380064994,2077804.8393746528,128340.25992157013,9807.646813910937,0.0882925177451857,0.005453584697568305,0.00041675801978416984,1.4728222630183547
